Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z49970450,Corporation,SPAXX**,HELD IN MONEY MARKET,,,,$50467.07,,,,,25.68%,,,Cash
Z49970450,Corporation,NVDA,NVIDIA CORPORATION COM,10,$943.90,-$6.12,$9439.00,-$61.20,-0.65%,+$7576.92,+406.90%,4.80%,$1862.08,$186.21,Cash
Z49970450,Corporation,MSFT,MICROSOFT CORP,20,$422.6796,-$0.1804,$8453.59,-$3.61,-0.05%,+$5961.39,+239.20%,4.30%,$2492.20,$124.61,Cash
Z49970450,Corporation,AAPL,APPLE INC,40,$171.1171,+$0.2671,$6844.68,+$10.68,+0.15%,+$4701.36,+219.34%,3.48%,$2143.32,$53.58,Cash
Z49970450,Corporation,META,META PLATFORMS INC CLASS A COMMON STOCK,20,$506.775,+$3.755,$10135.50,+$75.10,+0.74%,+$5779.50,+132.67%,5.16%,$4356.00,$217.80,Cash
Z49970450,Corporation,LLY,ELI LILLY &CO COM,10,$777.0966,+$3.9566,$7770.96,+$39.56,+0.51%,+$4319.96,+125.18%,3.95%,$3451.00,$345.10,Cash
Z49970450,Corporation,XOM,EXXON MOBIL CORP COM,20,$114.36,-$0.29,$2287.20,-$5.80,-0.26%,+$1068.02,+87.60%,1.16%,$1219.18,$60.96,Cash
Z49970450,Corporation,MA,MASTERCARD INCORPORATED CL A,10,$478.095,+$2.055,$4780.95,+$20.55,+0.43%,+$2004.95,+72.22%,2.43%,$2776.00,$277.60,Cash
Z49970450,Corporation,ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,3,$976.25,-$2.68,$2928.75,-$8.04,-0.28%,+$1128.21,+62.65%,1.49%,$1800.54,$600.18,Cash
Z49970450,Corporation,COST,COSTCO WHOLESALE CORP COM USD0.01,3,$732.7348,+$1.7748,$2198.20,+$5.32,+0.24%,+$818.20,+59.29%,1.12%,$1380.00,$460.00,Cash
Z49970450,Corporation,ABT,ABBOTT LABORATORIES,20,$111.26,+$1.25,$2225.20,+$25.00,+1.13%,+$746.17,+50.44%,1.13%,$1479.03,$73.95,Cash
Z49970450,Corporation,JPM,JPMORGAN CHASE & CO,15,$196.16,+$1.34,$2942.40,+$20.10,+0.68%,+$941.50,+47.05%,1.50%,$2000.90,$133.39,Cash
Z49970450,Corporation,EMR,EMERSON ELECTRIC CO,20,$111.72,-$0.01,$2234.40,-$0.20,-0.01%,+$684.80,+44.19%,1.14%,$1549.60,$77.48,Cash
Z49970450,Corporation,URA,GLOBAL X FDS GLOBAL X URANIUM,50,$28.34,-$0.04,$1417.00,-$2.00,-0.15%,+$417.00,+41.70%,0.72%,$1000.00,$20.00,Cash
Z49970450,Corporation,WMT,WALMART INC COM,105,$60.715,+$0.145,$6375.07,+$15.22,+0.23%,+$1781.13,+38.77%,3.24%,$4593.94,$43.75,Cash
Z49970450,Corporation,TRV,TRAVELERS COMPANIES INC COM STK NPV,10,$225.76,+$0.23,$2257.60,+$2.30,+0.10%,+$579.70,+34.54%,1.15%,$1677.90,$167.79,Cash
Z49970450,Corporation,GLD,SPDR GOLD TR GOLD SHS,20,$201.675,+$0.685,$4033.50,+$13.70,+0.34%,+$1031.99,+34.38%,2.05%,$3001.51,$150.08,Cash
Z49970450,Corporation,SHEL,SHELL PLC SPON ADS EA REP 2 ORD SHS,70,$67.275,-$0.145,$4709.25,-$10.15,-0.22%,+$1172.22,+33.14%,2.40%,$3537.03,$50.53,Cash
Z49970450,Corporation,V,VISA INC,10,$282.31,+$1.10,$2823.10,+$11.00,+0.39%,+$638.30,+29.21%,1.44%,$2184.80,$218.48,Cash
Z49970450,Corporation,AMZN,AMAZON.COM INC,43,$179.89,+$0.18,$7735.27,+$7.74,+0.10%,+$1733.52,+28.88%,3.94%,$6001.75,$139.58,Cash
