Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Z49970450,Corporation,SPAXX**,HELD IN MONEY MARKET,,,,"$41,523.45 ",,,,,21.44%,,,Cash
Z49970450,Corporation,NVDA,NVIDIA CORPORATION COM,10,$852.37 ,$29.58 ,"$8,523.70 ",$295.80 ,3.59%,"$6,661.62 ",357.75%,4.40%,"$1,862.08 ",$186.21 ,Cash
Z49970450,Corporation,MSFT,MICROSOFT CORP,20,$414.92 ,($0.58),"$8,298.40 ",($11.60),-0.14%,"$5,806.20 ",232.97%,4.28%,"$2,492.20 ",$124.61 ,Cash
Z49970450,Corporation,META,META PLATFORMS INC CLASS A COMMON STOCK,20,$498.19 ,($4.11),"$9,963.80 ",($82.20),-0.82%,"$5,607.80 ",128.73%,5.14%,"$4,356.00 ",$217.80 ,Cash
Z49970450,Corporation,AAPL,APPLE INC,40,$175.10 ,($4.56),"$7,004.00 ",($182.40),-2.54%,"$4,860.68 ",226.78%,3.62%,"$2,143.32 ",$53.58 ,Cash
Z49970450,Corporation,LLY,ELI LILLY &CO COM,10,$792.28 ,$10.16 ,"$7,922.80 ",$101.60 ,1.29%,"$4,471.80 ",129.57%,4.09%,"$3,451.00 ",$345.10 ,Cash
Z49970450,Corporation,MA,MASTERCARD INCORPORATED CL A,10,$468.49 ,($8.14),"$4,684.90 ",($81.40),-1.71%,"$1,908.90 ",68.76%,2.42%,"$2,776.00 ",$277.60 ,Cash
Z49970450,Corporation,AMZN,AMAZON.COM INC,43,$177.58 ,($0.64),"$7,635.94 ",($27.52),-0.36%,"$1,634.19 ",27.22%,3.94%,"$6,001.75 ",$139.58 ,Cash
Z49970450,Corporation,WMT,WALMART INC COM,105,$59.30 ,$0.54 ,"$6,226.50 ",$56.70 ,0.91%,"$1,632.56 ",35.53%,3.21%,"$4,593.94 ",$43.75 ,Cash
Z49970450,Corporation,ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,3,$998.04 ,$7.10 ,"$2,994.12 ",$21.30 ,0.71%,"$1,193.58 ",66.29%,1.55%,"$1,800.54 ",$600.18 ,Cash
Z49970450,Corporation,ABT,ABBOTT LABORATORIES,20,$120.04 ,$1.42 ,"$2,400.80 ",$28.40 ,1.19%,$921.77 ,62.32%,1.24%,"$1,479.03 ",$73.95 ,Cash
Z49970450,Corporation,GLD,SPDR GOLD TR GOLD SHS,20,$196.01 ,$3.12 ,"$3,920.20 ",$62.40 ,1.61%,$918.69 ,30.60%,2.02%,"$3,001.51 ",$150.08 ,Cash
Z49970450,Corporation,COST,COSTCO WHOLESALE CORP COM USD0.01,3,$759.18 ,$9.74 ,"$2,277.54 ",$29.22 ,1.29%,$897.54 ,65.03%,1.18%,"$1,380.00 ",$460.00 ,Cash
Z49970450,Corporation,XOM,EXXON MOBIL CORP COM,20,$104.36 ,($1.48),"$2,087.20 ",($29.60),-1.40%,$868.02 ,71.19%,1.08%,"$1,219.18 ",$60.96 ,Cash
Z49970450,Corporation,SHEL,SHELL PLC SPON ADS EA REP 2 ORD SHS,70,$62.85 ,($0.71),"$4,399.50 ",($49.70),-1.12%,$862.47 ,24.38%,2.27%,"$3,537.03 ",$50.53 ,Cash
Z49970450,Corporation,JPM,JPMORGAN CHASE & CO,15,$186.68 ,$1.39 ,"$2,800.20 ",$20.85 ,0.75%,$799.30 ,39.94%,1.45%,"$2,000.90 ",$133.39 ,Cash
Z49970450,Corporation,EMR,EMERSON ELECTRIC CO,20,$109.51 ,$1.37 ,"$2,190.20 ",$27.40 ,1.26%,$640.60 ,41.33%,1.13%,"$1,549.60 ",$77.48 ,Cash
Z49970450,Corporation,UNP,UNION PAC CORP COM,10,$253.47 ,$0.49 ,"$2,534.70 ",$4.90 ,0.19%,$632.90 ,33.27%,1.31%,"$1,901.80 ",$190.18 ,Cash
Z49970450,Corporation,V,VISA INC,10,$280.53 ,($2.63),"$2,805.30 ",($26.30),-0.93%,$620.50 ,28.40%,1.45%,"$2,184.80 ",$218.48 ,Cash
Z49970450,Corporation,TRV,TRAVELERS COMPANIES INC COM STK NPV,10,$219.07 ,$0.25 ,"$2,190.70 ",$2.50 ,0.11%,$512.80 ,30.56%,1.13%,"$1,677.90 ",$167.79 ,Cash
Z49970450,Corporation,JNJ,JOHNSON &JOHNSON COM USD1.00,35,$159.84 ,($2.28),"$5,594.40 ",($79.80),-1.41%,$506.80 ,9.96%,2.89%,"$5,087.60 ",$145.36 ,Cash
Z49970450,Corporation,BLK,BLACKROCK INC COM USD0.01,5,$834.47 ,$19.64 ,"$4,172.35 ",$98.20 ,2.41%,$422.35 ,11.26%,2.15%,"$3,750.00 ",$750.00 ,Cash
Z49970450,Corporation,URA,GLOBAL X FDS GLOBAL X URANIUM,50,$27.70 ,($0.59),"$1,385.00 ",($29.50),-2.09%,$385.00 ,38.50%,0.72%,"$1,000.00 ",$20.00 ,Cash
Z49970450,Corporation,BA,BOEING CO,8,$200.54 ,$0.54 ,"$1,604.32 ",$4.32 ,0.27%,$370.14 ,29.99%,0.83%,"$1,234.18 ",$154.27 ,Cash
Z49970450,Corporation,SPGI,S&P GLOBAL INC COM,5,$425.44 ,($3.57),"$2,127.20 ",($17.85),-0.84%,$361.79 ,20.49%,1.10%,"$1,765.41 ",$353.08 ,Cash
Z49970450,Corporation,ADBE,ADOBE INC COM,3,$567.94 ,($2.99),"$1,703.82 ",($8.97),-0.53%,$350.33 ,25.88%,0.88%,"$1,353.49 ",$451.16 ,Cash
Z49970450,Corporation,ICE,INTERCONTINENTAL EXCHANGE INC COM USD0.01,10,$138.07 ,($0.50),"$1,380.70 ",($5.00),-0.37%,$289.90 ,26.57%,0.71%,"$1,090.80 ",$109.08 ,Cash
Z49970450,Corporation,CVX,CHEVRON CORP NEW COM,15,$148.88 ,($3.93),"$2,233.20 ",($58.95),-2.58%,$269.45 ,13.72%,1.15%,"$1,963.75 ",$130.92 ,Cash
Z49970450,Corporation,MRNA,MODERNA INC COM,25,$96.00 ,$0.94 ,"$2,400.00 ",$23.50 ,0.98%,$268.68 ,12.60%,1.24%,"$2,131.32 ",$85.25 ,Cash
Z49970450,Corporation,912797GQ4,UNITED STATES TREAS BILLS ZERO CPN 0.00000% 03/07/2024,10000,$99.96 ,$0.00 ,"$9,995.60 ",$0.00 ,0.00%,$180.00 ,1.83%,5.16%,"$9,815.60 ",--,Cash
Z49970450,Corporation,SCHW,SCHWAB CHARLES CORP COM,60,$67.64 ,$1.17 ,"$4,058.40 ",$70.20 ,1.76%,$166.30 ,4.27%,2.10%,"$3,892.10 ",$64.87 ,Cash
Z49970450,Corporation,NVO,NOVO NORDISK A/S ADR-EACH CNV INTO 1 CLASS B DKK1,10,$127.95 ,$3.72 ,"$1,279.50 ",$37.20 ,2.99%,$152.40 ,13.52%,0.66%,"$1,127.10 ",$112.71 ,Cash
Z49970450,Corporation,FDX,FEDEX CORP COM USD0.10,4,$246.77 ,$0.17 ,$987.08 ,$0.68 ,0.06%,$69.79 ,7.60%,0.51%,$917.29 ,$229.32 ,Cash
Z49970450,Corporation,GOOG,ALPHABET INC CAP STK CL C,15,$134.20 ,($3.88),"$2,013.00 ",($58.20),-2.81%,$61.60 ,3.15%,1.04%,"$1,951.40 ",$130.09 ,Cash
Z49970450,Corporation,LMT,LOCKHEED MARTIN CORP COM USD1.00,10,$431.94 ,$5.48 ,"$4,319.40 ",$54.80 ,1.28%,$59.97 ,1.40%,2.23%,"$4,259.43 ",$425.94 ,Cash
Z49970450,Corporation,UNH,UNITEDHEALTH GROUP INC,5,$481.87 ,($7.66),"$2,409.35 ",($38.30),-1.57%,$9.35 ,0.38%,1.24%,"$2,400.00 ",$480.00 ,Cash
Z49970450,Corporation,BMY,BRISTOL-MYERS SQUIBB CO COM,50,$50.92 ,$0.03 ,"$2,546.00 ",$1.50 ,0.05%,($134.79),-5.03%,1.31%,"$2,680.79 ",$53.62 ,Cash
Z49970450,Corporation,LUV,SOUTHWEST AIRLINES CO,50,$34.11 ,$0.15 ,"$1,705.50 ",$7.50 ,0.44%,($144.50),-7.82%,0.88%,"$1,850.00 ",$37.00 ,Cash
Z49970450,Corporation,DE,DEERE & CO,5,$364.42 ,($3.43),"$1,822.10 ",($17.15),-0.94%,($167.90),-8.44%,0.94%,"$1,990.00 ",$398.00 ,Cash
Z49970450,Corporation,OXY,OCCIDENTAL PETE CORP COM,30,$60.68 ,($0.68),"$1,820.40 ",($20.40),-1.11%,($310.80),-14.59%,0.94%,"$2,131.20 ",$71.04 ,Cash
Z49970450,Corporation,BIIB,BIOGEN INC COM USD0.0005,15,$221.02 ,$0.07 ,"$3,315.30 ",$1.05 ,0.03%,($320.25),-8.81%,1.71%,"$3,635.55 ",$242.37 ,Cash
Z49970450,Corporation,PFE,PFIZER INC,95,$25.89 ,($0.70),"$2,459.55 ",($66.50),-2.64%,($858.20),-25.87%,1.27%,"$3,317.75 ",$34.92 ,Cash
,,,,,,,,,,,,,,,
